"ScanID","PFT","PFT_2","PFT_3","Freq1","Freq2","area","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"rosase_AK2018_03","rosasc","Rosa acicularis","Forb",20,80,"AK2018",-4.11705242175386,4.92493070703407,2.02247550955347,0.624952137862765,-0.563767215968989,0.556396058355435,-0.112198056507793
"134","luparc","Lupinus sp.","Forb",12,80,"Murphy",-2.55842969092237,4.51342923375066,1.72660974722981,0.440253319584951,-1.14806775530558,0.262620327620687,0.0389181543688461
"herlan_00004","herlan","Heracleum lanatum","Forb",8,80,"Yukon_Delta",-8.12836324703979,2.19457824337768,1.61500037319603,0.428757010501799,-0.355839840746458,0.119809927307687,-0.221508322392487
"equarv_00003","equarv","Equisetum arvense","Forb",4,80,"Yukon_Delta",-6.96817791459161,1.52094964094191,0.881562861141002,0.898500587077186,-0.311247503408256,-0.159883339354204,0.265430602543274
"63","rosaci","Rosa acicularis","Forb",20,80,"Big Trail",-5.02751379907805,3.1795312400965,1.34646032590321,1.29604299514336,0.140763891252096,0.21155344018623,-0.152096778010254
"127","luparc","Lupinus sp.","Forb",12,80,"Murphy",-7.41498243840619,3.02373419118175,2.31486316202432,-0.35963705874156,-1.36861504326465,0.354397650663891,0.313900863812845
"172","petfri","Petasites frigida","Forb",8,80,"Murphy",-1.98615894544092,5.80630512696918,0.697249367123665,1.66379598631599,0.226097143526744,0.122431708551454,-0.0275831458196966
"69","rosaci","Rosa acicularis","Forb",20,80,"Big Trail",-5.99523541912656,3.49161937990688,1.68192904341551,0.873862974667403,-0.205152060473144,0.269627399324885,0.000763475372191549
"177","petfri","Petasites frigida","Forb",8,80,"Murphy",-0.962377764787411,5.23807366541131,1.06999114895915,1.1774649494638,0.134538263391167,0.248567716428064,-0.104350894890595
"174","petfri","Petasites frigida","Forb",8,80,"Murphy",-3.48771056018551,5.48926567158151,0.651037663253857,1.49081115254002,0.252706722886352,0.268226871602722,-0.14585412817756
"rosase_AK2018_05","rosasc","Rosa acicularis","Forb",20,80,"AK2018",-1.52978813597272,6.21290589906553,1.59278384825335,1.06751389855369,-0.159259318665383,0.445234843076533,-0.269671309614652
