"ScanID","PFT","PFT_2","PFT_3","PFT_4","Freq1","Freq2","Freq3","area","450","520","630","770","1550","2090"
"97","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.065466,0.107876,0.085143,0.72045,0.369338,0.214698
"94","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.071208,0.128796,0.10249,0.769384,0.491853,0.298467
"199","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Big Trail",0.057602,0.084536,0.09954,0.367288,0.191121,0.111054
"89","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.070579,0.136531,0.087155,0.792337,0.422555,0.25768
"85","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.067413,0.111715,0.077383,0.64542,0.369695,0.225127
"98","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.068367,0.104792,0.080958,0.769607,0.393754,0.235821
"81","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.090556,0.130866,0.09373,0.755972,0.441667,0.276885
"90","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.068703,0.110035,0.090804,0.726325,0.447946,0.270519
"198","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Big Trail",0.03417,0.04969,0.056626,0.345718,0.189082,0.103153
"84","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.068139,0.114086,0.077897,0.649308,0.368561,0.224355
"111","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.065584,0.125068,0.087309,0.767246,0.516652,0.340203
"86","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.074021,0.131454,0.099622,0.741046,0.440026,0.2765
"99","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.068353,0.104551,0.081329,0.769445,0.394957,0.236664
"200","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Big Trail",0.060053,0.088614,0.104006,0.395262,0.207391,0.118999
