"ScanID","PFT","PFT_2","PFT_3","PFT_4","Freq1","Freq2","Freq3","area","NDVI","NDWI","NDMI","NDSI","NBR","EVI"
"121","usnlap","Usnea lapponica","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.13401100645785,-0.224895194112083,0.137717977541769,-0.0899635785369858,0.324579142078233,0.151977775371985
"122","usnlap","Usnea lapponica","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.201247458728199,-0.265855564282564,0.106110589873188,-0.164382211513376,0.304058266080368,0.250093045304954
"123","usnlap","Usnea lapponica","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.113465258427072,-0.180995180572072,0.093420271848981,-0.0890811479107378,0.22504687556809,0.126489264089017
"119","usnlap","Usnea lapponica","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.28425834891032,-0.330516798118818,0.130743597594741,-0.208795887883911,0.298360085502213,0.362583653775595
"124","usnlap","Usnea lapponica","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.258647829809656,-0.300778780548609,0.168367346938776,-0.139474612849755,0.358070138347259,0.345229853606648
"113","usnlap","Usnea lapponica","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.251084844853569,-0.300647645573443,0.082887553465209,-0.223325348125184,0.260438462687583,0.295584998766229
"128","usnsca","Usnea scabrata","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.245179958043789,-0.282823086574655,0.0247250246181165,-0.259915601798452,0.209451706393801,0.306448588907373
"75","usnsca","Usnea scabrata","Lichen_Yellow","Lichen",12,206,464,"Big Trail",0.328273047274195,-0.367293731087417,-0.0419879975794967,-0.4030656786735,0.154482064750302,0.316311641594721
"126","usnsca","Usnea scabrata","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.220416864679621,-0.320740298075008,0.103426886012789,-0.224769736808112,0.278967322874689,0.247720859765643
"125","usnsca","Usnea scabrata","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.238737987244322,-0.344136479049459,0.0994110465972652,-0.25339429650857,0.275388535214191,0.261511576775255
"127","usnsca","Usnea scabrata","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.249749149107104,-0.346779024434492,0.151773404803581,-0.205839320420152,0.331516652903936,0.283976808658546
"82","usnsca","Usnea scabrata","Lichen_Yellow","Lichen",12,206,464,"Big Trail",0.240498215087727,-0.312846169982014,-0.0340577913580592,-0.343246719176899,0.140865282060232,0.183226392234312
"77","usnsca","Usnea scabrata","Lichen_Yellow","Lichen",12,206,464,"Big Trail",0.316656571576907,-0.351463130976281,-0.0559313918873201,-0.399540428199276,0.115377966118104,0.300163456803421
"79","usnsca","Usnea scabrata","Lichen_Yellow","Lichen",12,206,464,"Big Trail",0.240716398943669,-0.313347821883315,-0.0423702968081666,-0.351057257784178,0.12542325259715,0.193258154712373
"76","usnsca","Usnea scabrata","Lichen_Yellow","Lichen",12,206,464,"Big Trail",0.32574238428286,-0.359675574102263,-0.0826409597904852,-0.429548657660445,0.0937072747560054,0.286069138055733
"81","usnsca","Usnea scabrata","Lichen_Yellow","Lichen",12,206,464,"Big Trail",0.275707673985035,-0.339162972588504,-0.0382302909987763,-0.372562506678064,0.126175030572606,0.242569999634513
"80","usnsca","Usnea scabrata","Lichen_Yellow","Lichen",12,206,464,"Big Trail",0.253498085981999,-0.318045651535818,-0.0170151737814055,-0.333257369061862,0.158268073460268,0.198006833073873
"138","vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.143549656032868,-0.239692157482124,0.0241103143750929,-0.216834943798067,0.150653603772093,0.132707518092769
"137","vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.124009380096322,-0.262639783596866,-0.0066903996267079,-0.26885775575557,0.124720301300706,0.102140549069742
"136","vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.175570501564609,-0.310836801265117,0.170049687945945,-0.148644098649512,0.334237809181737,0.154015370699901
"132","vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.171130095803674,-0.344497238248653,0.098235682692246,-0.254887436131998,0.269894436046734,0.131929634013566
"135","vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.225155016608155,-0.315682269781075,0.0759594273211208,-0.245612392942388,0.229863777143202,0.201024508558928
"140","vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.17352169730718,-0.320099639165081,0.156550489615903,-0.172177253956872,0.315038547933007,0.156053937678637
"131","vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.202934181415929,-0.345877875585947,0.0950728381122134,-0.259332832335717,0.251317176732539,0.14983955461218
"130","vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.148983171673292,-0.350294624075397,-0.027410137242733,-0.374112672210198,0.10737417771865,0.109329193147453
"139","vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.0504645234386064,-0.227110372153427,0.00381505831531134,-0.223488953453583,0.0866035955793594,0.0398958518189263
"133","vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.180139691840846,-0.322596949359652,0.116862411122774,-0.213794473880846,0.286877801206744,0.149534731614016
"129","vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen",12,206,464,"Murphy",0.064392330437111,-0.235967757412916,0.0215541240424929,-0.215509732748462,0.143529612310326,0.0545128099506587
"102","poljun","Polytrichum juniperinum","Moss_Acrocarp","Moss",10,55,90,"Murphy",0.627698921473008,-0.577294557439866,0.484158285903741,-0.12926651318749,0.638869185181795,0.515224481040127
"plagmn_AK2018_03","plagiomnium","Plagiomnium sp.","Moss_Acrocarp","Moss",4,55,90,"AK2018",0.678495221359537,-0.66360691048747,0.316210930085082,-0.439652569317395,0.490661073980473,0.583879320188501
"187","polytrichum","Polytrichum sp.","Moss_Acrocarp","Moss",13,55,90,"Murphy",0.657762282551556,-0.6936724489166,0.370412735201123,-0.435041499208726,0.57633979229808,0.382230171671589
"39","dicranum","Dicranum sp.","Moss_Acrocarp","Moss",5,55,90,"Murphy",0.649038737607737,-0.712694338387057,0.436680121832191,-0.400728819595198,0.617820970669165,0.629452571602036
"aultur_Brooks002","aultur","Aulacomnium turgidum","Moss_Acrocarp","Moss",6,55,90,"Brooks_Range",0.355071182796851,-0.543183893250693,0.191209826158615,-0.392767749503993,0.375099659346235,0.240415328896749
"plagmn_AK2018_04","plagiomnium","Plagiomnium sp.","Moss_Acrocarp","Moss",4,55,90,"AK2018",0.790841178996271,-0.749511838812792,0.318503553624115,-0.56616425201453,0.49556114248032,0.748446377205104
"99","hylspl","Hylocomium splendens","Moss_Pleurocarp","Moss",13,23,90,"Murphy",0.417545500478387,-0.651525351552593,-0.116344525214822,-0.713765450832532,0.119187058114566,0.233342284814503
"hypspl_Brooks003","hypspl","Hylocomium splendens","Moss_Pleurocarp","Moss",13,23,90,"Brooks_Range",0.359944259280542,-0.598072110169957,0.159222760016287,-0.485037905414905,0.354849559358664,0.170963265927202
"hypspl_Brooks004","hypspl","Hylocomium splendens","Moss_Pleurocarp","Moss",13,23,90,"Brooks_Range",0.488935588870345,-0.724915228757078,0.369546260837851,-0.485403598128286,0.573713406178089,0.236270740164371
