"ScanID","PFT","PFT_2.x","PFT_3.x","PFT_4","color","veg_lifeform_code","group","Freq1","Freq2","Freq3","area","450","520","630","770","1550","2090"
"pelleu_AK2018_01","pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.083943,0.120633,0.183025,0.40974,0.502651,0.401657
"pelleu_AK2018_03","pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.163285,0.210611,0.213458,0.488679,0.511573,0.38394
"pelleu_AK2018_02","pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.081072,0.116121,0.162741,0.367373,0.483423,0.393768
"umbarc_Brooks003","umbarc","Umbilicaria arctica","Lichen_Dark","Lichen","brown","lich_fo",0,4,173,464,"Brooks_Range",0.024265,0.024308,0.028684,0.051959,0.294179,0.288749
"umbarc_Brooks001","umbarc","Umbilicaria arctica","Lichen_Dark","Lichen","brown","lich_fo",0,4,173,464,"Brooks_Range",0.018648,0.01912,0.022355,0.043276,0.17972,0.160253
"umbarc_Brooks002","umbarc","Umbilicaria arctica","Lichen_Dark","Lichen","brown","lich_fo",0,4,173,464,"Brooks_Range",0.024393,0.023811,0.027383,0.051213,0.269122,0.247062
"umbarc_Brooks004","umbarc","Umbilicaria arctica","Lichen_Dark","Lichen","brown","lich_fo",0,4,173,464,"Brooks_Range",0.026143,0.026551,0.034907,0.082054,0.388988,0.33854
"247","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"Murphy",0.034551,0.035035,0.037895,0.057265,0.339492,0.312228
"53","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.027105,0.02765,0.036105,0.089614,0.276455,0.227107
"59","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.032035,0.03165,0.038421,0.084739,0.34148,0.288444
"56","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.03366,0.031539,0.035347,0.072854,0.290247,0.266023
"62","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.03931,0.037994,0.043642,0.079471,0.308859,0.258493
"249","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"Murphy",0.030912,0.030968,0.034446,0.059436,0.24401,0.212741
"248","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"Murphy",0.032012,0.031728,0.034754,0.058273,0.248923,0.221924
"63","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.026135,0.024148,0.026953,0.052171,0.23388,0.198016
"60","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.02402,0.022613,0.026257,0.056676,0.237131,0.198141
"61","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.03036,0.027891,0.030545,0.058235,0.296982,0.254322
"icmeri_Beth005","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.24921,0.31632,0.385894,0.554954,0.39763,0.286181
"icmeri_Beth004","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.337467,0.454111,0.514347,0.792641,0.471783,0.334452
"icmeri_Beth003","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.295365,0.343169,0.399386,0.580724,0.3253,0.225059
"icmeri_Beth008","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.379654,0.414396,0.458627,0.580492,0.434224,0.32605
"icmeri_Beth006","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.305972,0.365555,0.404887,0.574251,0.344348,0.235525
"icmeri_Beth001","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.299945,0.342103,0.409478,0.519922,0.335012,0.237847
"icmeri_Beth007","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.142253,0.206943,0.204723,0.506775,0.323633,0.220826
"icmeri_Beth002","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.284094,0.343412,0.397539,0.577014,0.40993,0.291112
"paromp_Brooks002","paromp","Parmelia omphalodes","Lichen_Light","Lichen","white","lich_fo",0,4,90,464,"Brooks_Range",0.051758,0.056183,0.064152,0.116283,0.377885,0.302023
"paromp_Brooks003","paromp","Parmelia omphalodes","Lichen_Light","Lichen","white","lich_fo",0,4,90,464,"Brooks_Range",0.03028,0.031339,0.035676,0.06109,0.246995,0.203775
"paromp_Brooks004","paromp","Parmelia omphalodes","Lichen_Light","Lichen","white","lich_fo",0,4,90,464,"Brooks_Range",0.031261,0.030923,0.032929,0.050867,0.249622,0.211227
"paromp_Brooks001","paromp","Parmelia omphalodes","Lichen_Light","Lichen","white","lich_fo",0,4,90,464,"Brooks_Range",0.04813,0.048878,0.05251,0.080055,0.307883,0.2666
"parsul_AK2018_03","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"AK2018",0.209549,0.215121,0.244657,0.314379,0.368685,0.286483
"parsul_AK2018_04","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"AK2018",0.210052,0.213471,0.240031,0.293603,0.39142,0.343302
"parsul_AK2018_02","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"AK2018",0.212994,0.216175,0.22754,0.37976,0.389666,0.3024
"84","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.486552,0.518944,0.56466,0.666572,0.594054,0.428947
"83","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.382443,0.42664,0.459449,0.660464,0.556284,0.39872
"81","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.241167,0.255529,0.27682,0.326847,0.404867,0.31184
"80","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.242051,0.276739,0.291873,0.405667,0.418841,0.306334
"79","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.377033,0.413634,0.439529,0.584967,0.498075,0.354844
"parsul_AK2018_01","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"AK2018",0.179424,0.182364,0.20382,0.239516,0.272937,0.233421
"78","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.306309,0.349925,0.377196,0.53724,0.506791,0.35529
"stepas_Brooks003","stepas","Stereocaulon sp.","Lichen_Light","Lichen","white","lich_fr",0,8,90,464,"Brooks_Range",0.230684,0.25121,0.273848,0.449576,0.418375,0.316364
"stepas_Brooks004","stepas","Stereocaulon sp.","Lichen_Light","Lichen","white","lich_fr",0,8,90,464,"Brooks_Range",0.186156,0.204605,0.224334,0.390363,0.376398,0.264499
"stepas_Brooks001","stepas","Stereocaulon sp.","Lichen_Light","Lichen","white","lich_fr",0,8,90,464,"Brooks_Range",0.132967,0.144775,0.160426,0.274479,0.258598,0.184837
"stepas_Brooks002","stepas","Stereocaulon sp.","Lichen_Light","Lichen","white","lich_fr",0,8,90,464,"Brooks_Range",0.202352,0.220489,0.237146,0.424471,0.384999,0.27636
"110","tragra","Trapelopsis granulosa","Lichen_Light","Lichen","gray","lich_cr",0,5,90,464,"Murphy",0.114712,0.139503,0.174391,0.310122,0.371487,0.251052
"108","tragra","Trapelopsis granulosa","Lichen_Light","Lichen","gray","lich_cr",0,5,90,464,"Murphy",0.236511,0.282417,0.379255,0.48534,0.573274,0.448861
"112","tragra","Trapelopsis granulosa","Lichen_Light","Lichen","gray","lich_cr",0,5,90,464,"Murphy",0.093762,0.118641,0.151507,0.266726,0.344954,0.231637
"111","tragra","Trapelopsis granulosa","Lichen_Light","Lichen","gray","lich_cr",0,5,90,464,"Murphy",0.099157,0.115399,0.151274,0.280972,0.432558,0.30114
"109","tragra","Trapelopsis granulosa","Lichen_Light","Lichen","gray","lich_cr",0,5,90,464,"Murphy",0.173212,0.213741,0.272657,0.599218,0.591424,0.405504
"3","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.075881,0.102222,0.117628,0.185621,0.247669,0.175948
