"ScanID","PFT","PFT_2.x","PFT_3.x","PFT_4","color","veg_lifeform_code","group","Freq1","Freq2","Freq3","area","NDVI","NDWI","NDMI","NDSI","NBR","EVI"
"58","clagra","Cladonia gracilis","Lichen_Dark","Lichen","gray","lich_fr",0,18,173,464,"Murphy",0.508296323789235,-0.690656727560787,-0.104986943948735,-0.741852026233313,0.0615403332868148,0.322926528630664
"11","clagra","Cladonia gracilis","Lichen_Dark","Lichen","gray","lich_fr",0,18,173,464,"Big Trail",0.324064724848915,-0.270844119521809,0.344075636379646,0.0807573654172451,0.500363213045568,0.46178219091465
"10","clagra","Cladonia gracilis","Lichen_Dark","Lichen","gray","lich_fr",0,18,173,464,"Big Trail",0.415943989291246,-0.366167678032644,0.325262511610334,-0.0464356852635927,0.482656083506768,0.543522219006766
"hypaus_AK2018_04","hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen","brown","lich_fr",0,13,173,464,"AK2018",0.378566490947564,-0.500847374861404,-0.315554647321277,-0.704983158580975,-0.233584651039986,0.149519040590498
"55","hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen","brown","lich_fr",0,13,173,464,"Murphy",0.480468518290374,-0.662339924634251,-0.215457843837766,-0.768174415291589,-0.0480943286069279,0.327826848495547
"52","hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen","brown","lich_fr",0,13,173,464,"Murphy",0.489588698487383,-0.67483666844722,0.0241227123152794,-0.6614821518566,0.188252088698753,0.459728045811841
"53","hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen","brown","lich_fr",0,13,173,464,"Murphy",0.481300625435724,-0.567747243705776,0.164777975231285,-0.444558734454891,0.362822221319857,0.543456863675646
"59","hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen","brown","lich_fr",0,13,173,464,"Murphy",0.417517427305989,-0.603687198158144,-0.0525630795051457,-0.636066822658758,0.121235015000232,0.338966494945288
"54","hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen","brown","lich_fr",0,13,173,464,"Murphy",0.489575840025316,-0.621168680153031,-0.103268741475122,-0.680767987936234,0.0528184724574488,0.413495869904613
"hypaus_AK2018_01","hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen","brown","lich_fr",0,13,173,464,"AK2018",0.359672576450597,-0.480254084447273,-0.53657250564634,-0.8084867260529,-0.490075422222831,0.128978953203278
