"","Functional_group1","Wavelength","Median_Diff","Pct_12_5_Diff","Pct_87_5_Diff"
"3146","ShrubDecid",533,0.0349135546722208,-0.001086807208135,0.0614926512401804
"3147","ShrubDecid",534,0.0357214306433227,-0.000786824962063802,0.0628451680918992
"3148","ShrubDecid",535,0.0361878657974871,-0.000712988514122798,0.0637798306396804
"3149","ShrubDecid",536,0.0366900562617903,-0.000724802793282103,0.0643885090139232
"3150","ShrubDecid",537,0.0370675531948694,-0.000638771256323001,0.064688550474296
"3151","ShrubDecid",538,0.0376123371951264,-0.000681672098408498,0.065290328179767
"3152","ShrubDecid",539,0.037940128089221,-0.000644974693806602,0.0652260591849186
"3153","ShrubDecid",540,0.0379974699021098,-0.000456558877130302,0.0650731014308439
"3154","ShrubDecid",541,0.0379091525430991,-0.000338759032308199,0.0653532495343646
"3155","ShrubDecid",542,0.0377571175737802,-0.0004737267309129,0.0664351532907195
"3156","ShrubDecid",543,0.0375740455572489,-0.000456964154649998,0.0673915155870201
"3157","ShrubDecid",544,0.037258515400045,-0.0005427673006752,0.0683973618600792
"3158","ShrubDecid",545,0.0369758919321295,-0.000663812462069098,0.0691946062106127
"3159","ShrubDecid",546,0.0370431701560219,-0.000610200794339703,0.069894423002174
"3160","ShrubDecid",547,0.0372694872394802,-0.000695773599034701,0.0705514007122273
"3161","ShrubDecid",548,0.0375977786311756,-0.000699608441344396,0.0709857540246202
