"","Wavelength","Radiance"
"186",740.171,0.785540151120358
"187",742.023,0.775262991423285
"188",743.875,0.775718780119663
"189",745.726,0.769227786793873
"190",747.578,0.733275648221393
"191",749.43,0.791907135630894
"192",751.282,0.760571169766411
"193",753.134,0.788163793387215
"194",754.985,0.763668336163073
"195",756.837,0.757962469597842
"196",758.689,0.742652338675202
"197",760.541,0.765281710529509
"198",762.392,0.783528387940758
"199",764.244,0.732331310387498
"200",766.096,0.756743527416244
"201",767.948,0.705578398516717
"202",769.8,0.761265164783808
"203",771.651,0.72929784514803
"204",773.503,0.791825253964578
"205",775.355,0.770947564566533
"206",777.207,0.746945555755917
"207",779.058,0.738777880230332
"208",780.91,0.73483760858823
"209",782.762,0.736217079451965
"210",784.614,0.730230621348367
"211",786.466,0.752336388164653
"212",788.317,0.776978273381614
