Site,Measurement_Date,Spectra_Name,Sample_ID,USDA_Species_Code,Spectrometer_GPS_Lat,Spectrometer_GPS_Long,Measurement_Time_UTC,Instrument,Foreoptic,Collection_Units,Spectra_Units,Spectra_Type,Reflectance_Type,White_Reference_Standard,Spectral_Resolution,Interpolation_Method,Overlap_Handling,Overlap_Removal,Overlap_Matching_Type
Barrow (Utqiagvik) Environmental Observatory,20150710,1570,BNL1570,PEFR5,71.275645,-156.64104,23:03,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1571,BNL1571,PEFR5,71.27572167,-156.6416217,23:14,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1572,BNL1572,PEFR5,71.27558167,-156.6415683,23:26,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1573,BNL1573,PEFR5,71.27551333,-156.6410083,23:42,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1574,BNL1574,PEFR5,71.27552667,-156.641515,23:48,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1575,BNL1575,PEFR5,71.27557833,-156.64152,23:22,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1576,BNL1576,PEFR5,71.27559833,-156.6411783,23:35,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1577,BNL1577,CAAQ,71.27548167,-156.6421317,18:44,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1578,BNL1578,CAAQ,71.27546833,-156.6414417,19:24,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1579,BNL1579,CAAQ,71.27569833,-156.641905,19:12,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1580,BNL1580,CAAQ,71.27542333,-156.6416533,18:59,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
