Code_name,Species_name,Genus,Functionalgroup2,Functional_group1
loipro,Loisleuria procumbens,Loisleuria,ShrubEvergreenBroadleaf,ShrubEvergreen
KAPR,Loisleuria procumbens,Loisleuria,ShrubEvergreenBroadleaf,ShrubEvergreen
vacvit,Vaccinium vitis-idea,Vaccinium,ShrubEvergreenBroadleaf,ShrubEvergreen
VAVI,Vaccinium vitis-idea,Vaccinium,ShrubEvergreenBroadleaf,ShrubEvergreen
DROCA2,Dryas sp.,Dryas,ShrubEvergreenBroadleaf,ShrubEvergreen
betall,Betula alleghaniensis,Betula,TreeBetula,TreeBroadleaf
betneo,Betula neoalaskana,Betula,TreeBetula,TreeBroadleaf
betpap,Betula papyrifera,Betula,TreeBetula,TreeBroadleaf
betpop,Betula populifolia,Betula,TreeBetula,TreeBroadleaf
acerub,Acer rubrum,Acer,TreeBroadleafOther,TreeBroadleaf
acepen,Acer pensylvanicum,Acer,TreeBroadleafOther,TreeBroadleaf
faggra,Fagus grandifolia,Fagus,TreeBroadleafOther,TreeBroadleaf
fraame,Fraxinus americana,Fagus,TreeBroadleafOther,TreeBroadleaf
prupen,Prunus pensylvanica,Prunus,TreeBroadleafOther,TreeBroadleaf
querub,Quercus Rubra,Quercus,TreeBroadleafOther,TreeBroadleaf
popbal,Populus balsamifera,Populus,TreePopulus,TreeBroadleaf
popgra,Populus grandidentata,Populus,TreePopulus,TreeBroadleaf
popbal,Populus balsamifera,Populus,TreePopulus,TreeBroadleaf
abibal,Abies balsamea,Abies,TreeConiferOther,TreeConifer
larlar,Larix larcina,Larix,TreeConiferOther,TreeConifer
pinstr,Pinus strobus,Pinus,TreeConiferOther,TreeConifer
thuocc,Thuja occidentalis,Thuja,TreeConiferOther,TreeConifer
tsucan,Tsuga canadensis,Tsuga,TreeConiferOther,TreeConifer
picmar,Picea mariana,Picea,TreeSpruce,TreeConifer
picrub,Picea rubens,Picea,TreeSpruce,TreeConifer
DAFRF,Unknown,,Unknown,Unknown
SAG,Unknown,,Unknown,Unknown
