"","Functional_group1","Functional_group1_wN","Wavelength","Median_Reflectance","Max_Reflectance","Min_Reflectance","Pct_87_5_Reflectance","Pct_12_5_Reflectance","Upper_Reflectance","Lower_Reflectance","Source"
"118","Abiotic","Abiotic (n= 94 scans, 5 species)",1117,32.2206,72.4804,14.1372,65.7965625,17.6492,68.5073,15.59548,"Ground"
"119","Abiotic","Abiotic (n= 94 scans, 5 species)",1118,32.2658,72.4627,14.1601,65.7932625,17.6603,68.4996,15.601045,"Ground"
"120","Abiotic","Abiotic (n= 94 scans, 5 species)",1119,32.3092,72.4425,14.1826,65.788975,17.6707,68.4914,15.606045,"Ground"
"121","Abiotic","Abiotic (n= 94 scans, 5 species)",1120,32.3485,72.4187,14.2034,65.783675,17.6795,68.4837,15.6095,"Ground"
"122","Abiotic","Abiotic (n= 94 scans, 5 species)",1121,32.3844,72.392,14.2231,65.7774125,17.6871,68.476,15.611725,"Ground"
"123","Abiotic","Abiotic (n= 94 scans, 5 species)",1122,32.41885,72.3628,14.2424,65.77015,17.7243,68.4678,15.613545,"Ground"
"124","Abiotic","Abiotic (n= 94 scans, 5 species)",1123,32.45405,72.3315,14.2584,65.761875,17.7756,68.4588,15.61585,"Ground"
"125","Abiotic","Abiotic (n= 94 scans, 5 species)",1124,32.4912,72.3186,14.2576,65.752225,17.8319,68.4486,15.619125,"Ground"
"126","Abiotic","Abiotic (n= 94 scans, 5 species)",1125,32.52905,72.3058,14.2584,65.741225,17.8927,68.4374,15.623105,"Ground"
"127","Abiotic","Abiotic (n= 94 scans, 5 species)",1126,32.56775,72.2916,14.2595,65.729325,17.9551,68.4253,15.627445,"Ground"
"128","Abiotic","Abiotic (n= 94 scans, 5 species)",1127,32.60775,72.275,14.26,65.716925,18.0164,68.4122,15.63193,"Ground"
"129","Abiotic","Abiotic (n= 94 scans, 5 species)",1128,32.65005,72.256,14.2596,65.705225,18.0759,68.3983,15.637135,"Ground"
