Site,Date,Spectra_Name,Target_Type,SampleID,Dominant_Species,Measurement_Time_UTC,Latitude,Longitude,Instrument_Manufacturer,Instrument_Model,Instrument_Serial_Number,Foreoptic,Collection_Units,Spectra_Units,Spectra_Type,Reflectance_Type,White_Reference_Standard,Spectral_Resolution,Interpolation_Method,Overlap_Handling,Overlap_Removal,Overlap_Matching_Type
Seward_Kougarok,20190706,BNL13417,Vegetation,BNL13417,BENA,20:37:59,65.16582667,-164.8176739,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13418,Vegetation,BNL13418,VAUL,20:34:37,65.16581333,-164.8175717,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13419,Vegetation,BNL13419,ALVI5,20:27:50,65.16602333,-164.8166033,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13420,Vegetation,BNL13420,ERVA4,20:24:08,65.16606167,-164.8165583,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13421,Vegetation,BNL13421,BENA,20:20:30,65.16602667,-164.816225,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13422,Vegetation,BNL13422,BEGL,20:16:52,65.16611833,-164.8161467,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13423,Vegetation,BNL13423,VAUL,20:13:35,65.16608,-164.8161633,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13424,Vegetation,BNL13424,LEDUM,20:10:19,65.166085,-164.8161678,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13425,Vegetation,BNL13425,ALVI5,20:02:18,65.16659167,-164.8148794,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13426,Vegetation,BNL13426,SAPU15,19:58:29,65.16657,-164.8149539,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13427,Vegetation,BNL13427,ERVA4,19:53:49,65.16655167,-164.8150333,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13428,Vegetation,BNL13428,VAUL,19:48:53,65.166515,-164.8149492,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Seward_Kougarok,20190706,BNL13429,Vegetation,BNL13429,ERVA4,19:43:18,65.16648222,-164.8153317,Spectra Vista Corporation,HR-1024i,2041,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
