source,outliers,preprocessing,weight,model_id
img_indices_only.csv,clip,min_max,posterior,695e17f5-2cb6-485a-93bc-b6c46af42a8e
img_indices_only.csv,clip,robust,balanced,d39cdeb3-b237-4e6c-af6f-747c8adafcb5
img_indices_only.csv,clip,robust,no_treatment,abf8d21c-b704-4b67-9ed1-54f0aae22e78
img_indices_only.csv,clip,robust,posterior,21c6ebc8-5752-45fc-a95d-8bd1a06f22da
img_indices_only.csv,clip,standard,balanced,c6e94e7d-3151-436e-a119-573045fd04e6
img_indices_only.csv,clip,standard,no_treatment,09e5241e-8cf7-45c3-b306-ca7f418bd281
img_indices_only.csv,clip,standard,posterior,04981a87-5330-454a-9993-45f609a96bbf
img_indices_only.csv,clip,no_treatment,balanced,98b2c4e8-d3bb-4080-9f11-6b2f35ab908d
img_indices_only.csv,clip,no_treatment,no_treatment,26661220-c830-476f-a253-35c6271aecf1
img_indices_only.csv,clip,no_treatment,posterior,399efc6b-af48-4ce0-801a-6f57809c2fa7
img_indices_only.csv,no_treatment,min_max,balanced,1a99ccee-70d9-4533-9640-ffe052b0ec8c
img_indices_only.csv,no_treatment,min_max,no_treatment,2d599fc5-54bf-4b57-8e26-6a47a94a999c
img_indices_only.csv,no_treatment,min_max,posterior,b812254e-bc54-41f7-a6cf-53d929a78a85
img_indices_only.csv,no_treatment,robust,balanced,6aa85ca8-0ea6-49d3-a8ad-8f45e9d0ac52
img_indices_only.csv,no_treatment,robust,no_treatment,40d41f6c-9faa-4cc1-a1dd-daaa55659e3d
img_indices_only.csv,no_treatment,robust,posterior,f641849e-568b-4194-ba3a-5daa2954b687
img_indices_only.csv,no_treatment,standard,balanced,ac254f62-2357-4802-a2c2-06df7adcdc72
img_indices_only.csv,no_treatment,standard,no_treatment,594bb8e0-a7d4-4a2e-994b-7a694876193a
img_indices_only.csv,no_treatment,standard,posterior,4aa4a5c2-46c1-4b8c-bf54-c51995c7effe
img_indices_only.csv,no_treatment,no_treatment,balanced,8bcb85d5-8551-494a-9418-2c481d293320
img_indices_only.csv,no_treatment,no_treatment,no_treatment,bcfdf4e5-f2b6-4315-92ba-f836dbf68df2
img_indices_only.csv,no_treatment,no_treatment,posterior,20aa8e7f-6da1-4433-b93b-73580925abd4
grd_indices_only.csv,clip,min_max,balanced,124636ea-e691-40b0-97a6-dee75ce5eb39
grd_indices_only.csv,clip,min_max,no_treatment,df9a09a3-9407-48f7-8e57-a12df48041a6
grd_indices_only.csv,clip,min_max,posterior,b1be2464-46da-46f4-9d54-2c5f3726f101
grd_indices_only.csv,clip,robust,balanced,20ec5cf0-b68f-4869-beb9-a10243278387
grd_indices_only.csv,clip,robust,no_treatment,3f524e4b-9a21-475a-b0b2-c4a0585e70d5
grd_indices_only.csv,clip,robust,posterior,7b1a2908-0fef-4590-99bd-33d145f440e6
