source,outliers,preprocessing,weight,n,oob,accuracy,r2,rpd,seed,model_id
0.99,Random Forest,Nothing,balanced,256,,0.891666666666667,0.108249234716252,1.56076970099583,61718,0958491e-5475-46e3-81d6-da7a1784195c
0.99,Random Forest,Nothing,balanced,512,,0.883333333333333,0.108956029897998,1.56074424170195,61718,b9f23088-c293-464c-832b-7c522665c4df
1,Random Forest,Nothing,balanced,2,,0.708333333333333,0.14110068262688,1.42869622163958,61718,f55838fb-6468-415c-ba3c-06f169de400f
1,Random Forest,Nothing,balanced,4,,0.758333333333333,0.217252974833846,1.27093477974651,61718,0057e111-5700-458a-b116-df2b399b6b33
1,Random Forest,Nothing,balanced,8,,0.825,0.113678748594763,1.44280648977872,61718,83bb4259-cbb8-4411-9a85-3fda759fb1b8
1,Random Forest,Nothing,balanced,16,,0.85,0.105392190278319,1.56575109223777,61718,f06ce7a4-3b52-4cac-b7d0-6daf4f48bfd3
1,Random Forest,Nothing,balanced,32,,0.833333333333333,0.101894719294602,1.56294804570863,61718,f9436f22-40e0-427e-bc60-91289ab499cf
1,Random Forest,Nothing,balanced,64,,0.866666666666667,0.102172563818664,1.59898957388837,61718,d2000c69-915f-4045-8ca0-4b36c12d94a0
1,Random Forest,Nothing,balanced,128,,0.858333333333333,0.100037524222633,1.61885774252732,61718,2586bc44-d679-45ce-aa44-c51635ae7a5c
1,Random Forest,Nothing,balanced,256,,0.875,0.0987771457449805,1.62883059010534,61718,7fc46ba7-18c7-43a6-ab04-ab9c41ff46b7
1,Random Forest,Nothing,balanced,512,,0.85,0.0978990685599824,1.63781663264651,61718,faccad71-7ed4-48d2-b77b-85e3e1510480
