source,outliers,preprocessing,weight,oob,accuracy,r2,chi2prob,model_id
img_raw_raw.csv,clip,standard,posterior,0.0336559612846458,0.533333333333333,-0.00158524326877751,3.99287259863921e-48,8fce2dc4-b355-403f-97c5-4bd9c2a1643b
img_indices_only.csv,no_treatment,robust,no_treatment,0.0262708244340026,0.275,0.0119375428284637,1,483b55a0-1080-42b3-8bff-eebdecc73aa3
img_indices_only.csv,no_treatment,robust,balanced,0.0291936978683967,0.316666666666667,0.0110185266112852,1,5e9fb4ec-efaa-42db-90d4-a5a979f7fa6c
img_indices_only.csv,no_treatment,robust,posterior,0.0323290081372333,0.183333333333333,0.00919115143359028,0.999999999996245,79098a70-45fc-4bcb-bc39-a8376d041b35
img_indices_only.csv,no_treatment,min_max,no_treatment,0.0262708244340026,0.525,0.0218190581152167,3.65633616694605e-98,1c21769d-8113-41f4-b665-09b36935cae1
img_indices_only.csv,no_treatment,min_max,balanced,0.0291936978683967,0.55,0.0062970899669138,1.76103289018916e-19,e365cde0-a2fc-4339-b313-b51ad189b4bf
img_indices_only.csv,no_treatment,min_max,posterior,0.0323290081372333,0.516666666666667,0.00393329755218919,3.66042673262741e-42,24b42744-4c14-4ee3-ac6b-c4fa1dbac84f
img_indices_only.csv,no_treatment,no_treatment,no_treatment,0.0262708244340026,1,0.045105514528521,1.02280353953325e-225,6ff0a02d-c0ce-4a36-9718-e4372ab196d6
img_indices_only.csv,no_treatment,no_treatment,balanced,0.0291936978683967,1,0.08984209411135,9.47286476840543e-286,8a808b93-c640-4eeb-af62-8f2f7547fe4d
img_indices_only.csv,no_treatment,no_treatment,posterior,0.0323290081372333,1,0.0454739066977259,9.65233422406355e-204,f5500ffa-74e2-42d9-a440-27963ed6d484
img_indices_only.csv,no_treatment,standard,no_treatment,0.0262708244340026,0.508333333333333,-3.4185129142994e-05,3.74634835831696e-62,af26440b-0ed5-4d8f-b40b-8724639f4735
img_indices_only.csv,no_treatment,standard,balanced,0.0291936978683967,0.491666666666667,-0.00144586084747078,8.66297415346802e-47,813a0f5b-9b1d-4a85-9964-85bda4aa96a1
