"PFT_2","PC1","PC2","PC3","PC4","PC5","PC6"
"Vaccinium vitis-idea",-30.6142511298959,-4.91566782509703,4.01110942390039,1.18776707256353,1.46363733724865,1.6242780793163
"Vaccinium vitis-idea",-33.3456328067902,-3.36229020659864,1.72116733306176,1.08548793781777,1.12021812115414,1.82658543962691
"Vaccinium vitis-idea",-22.1845933163088,2.27801310439989,5.27882976996185,1.85869024195513,2.07238983373896,2.85618251227314
"Vaccinium vitis-idea",-16.1474817802124,-0.899650934568708,-0.629015314240154,1.86608105739528,-1.01164758800613,1.18245710541373
"Cladonia rangiferina",-20.4001221427369,-13.7480771172789,10.6517180413312,-0.318244771080649,-0.668687747646496,0.628569475524509
"Cladonia rangiferina",-26.8481476629199,-15.3297663018901,8.71147944146656,-1.33644942203423,-0.897948332867503,0.265330277857136
"Cladonia rangiferina",6.84906231922467,-10.0271929469015,20.2273212376813,0.130540525353402,-0.394357549690987,0.797004963586663
"Cladonia rangiferina",-3.14284263154283,-7.70466337419178,13.8878245013123,1.62206141687544,-0.299629919153878,0.489877639145146
"Evernia mesomorpha",55.4749808713842,-21.1862761863847,4.42136375146504,11.4333710925316,-0.828176750707113,-1.73859520246711
"Evernia mesomorpha",53.1776780263585,-17.8246286830866,5.74094204443799,11.515897065632,-0.73612560287634,-2.43996574853985
"Nephroma arcticum",44.1111821683602,3.58576644796797,29.0774421384989,16.1117695530323,-3.08816046594983,-1.30794931550986
"Nephroma arcticum",25.6858113778046,5.01642641329362,26.7361585553119,13.2107104560203,-2.08010828671662,-0.227104968895753
"Nephroma arcticum",37.7347212650548,4.9519568233863,28.8178162781495,14.6466225762678,-1.76468101122212,-1.06533472819761
"Nephroma arcticum",11.0254247654318,6.54389336405049,17.2410320566839,7.14618305901066,-0.500211572270394,1.58247966125415
"Nephroma arcticum",45.0431339394528,2.80443985825504,26.2374007307261,13.2411016261042,-3.94926281282874,-0.881406866610546
"Nephroma arcticum",32.3178262865019,-0.306331892860075,21.0793496370659,13.8957775201199,-4.4403421875418,-1.58761078068906
"Nephroma arcticum",33.7181911614686,9.26856931144639,24.4269189261864,12.6349210196031,-2.26427527071092,0.0001489772874094
"Nephroma arcticum",-2.97130117395673,0.540184713766264,16.7562768046275,7.27344752885323,0.347719991570751,0.976033735543136
"Cladonia steallaris",42.6736131300336,-31.2184210475814,9.26165811856306,12.961200002084,5.55415651698659,1.8557494595254
"Cladonia steallaris",5.09583741277316,-27.8255854178162,12.1257595392097,7.62699977945272,3.52695935223966,1.40935709848713
"Cladonia steallaris",0.870751784955557,-24.5963253875486,6.67004307729328,7.1707403480151,4.16692516493433,0.582534150605639
"Cladonia steallaris",1.77864790077825,-23.0922368158129,7.10166818975479,6.83903949175904,3.92832648117056,0.861496088472227
"Cladonia steallaris",-17.8104182545423,-19.1241412388108,2.69357287489878,2.96471619459856,2.33766500882904,0.409752156883373
"Cladonia steallaris",-8.46888436210787,-21.8645541105616,4.37023025691625,5.23149470406203,2.70870946754422,0.483459267826974
"Cladonia steallaris",3.82516272602014,-24.2736053852196,6.07697310372347,7.28139891385136,3.63325993020639,0.784097216384332
"Cladonia steallaris",16.9593832045927,-27.0585538232848,7.74893289177713,9.01468113049934,4.27821980576713,0.963960983994635
