"","ScanID","PFT","PFT_2","PFT_3","Freq","area","350","450","550","650","750","850","950","1050","1150","1250","1350","1450","1550","1650","1750","1850","1950","2050","2150","2250","2350","2450"
"37","4","asachr","Asahinea chrysantha","Lichen",19,"12mile",0.371688,0.212441,0.273954,0.273833,0.371444,0.381917,0.390489,0.38728,0.386028,0.391986,0.385178,0.2791,0.301821,0.327242,0.304974,0.324286,0.190068,0.215005,0.207987,0.18469,0.175191,0.130738
"38","asachr_Brooks004","asachr","Asahinea chrysantha","Lichen",19,"Brooks_Range",0.165353,0.226521,0.334475,0.362954,0.431933,0.448156,0.453512,0.459281,0.465018,0.470725,0.465922,0.377102,0.400923,0.422663,0.397463,0.418153,0.29138,0.329617,0.32405,0.291866,0.260468,0.221873
"39","asachr_Brooks003","asachr","Asahinea chrysantha","Lichen",19,"Brooks_Range",0.11038,0.121072,0.172206,0.183843,0.274083,0.284663,0.288137,0.290649,0.293474,0.295572,0.291681,0.212441,0.231095,0.252444,0.233992,0.250448,0.145108,0.17654,0.175976,0.165689,0.138829,0.111606
"40","7","asachr","Asahinea chrysantha","Lichen",19,"12mile",0.55915,0.472263,0.597399,0.57401,0.796825,0.811206,0.821922,0.823822,0.827241,0.835681,0.827388,0.668214,0.71291,0.754299,0.725349,0.744207,0.472259,0.522025,0.519835,0.482312,0.478757,0.383626
"41","3","asachr","Asahinea chrysantha","Lichen",19,"12mile",0.375726,0.246469,0.302446,0.274629,0.511096,0.548009,0.577576,0.596967,0.618369,0.644795,0.651034,0.495536,0.53717,0.588432,0.560756,0.585609,0.345285,0.388266,0.390973,0.380279,0.360738,0.281914
"42","14","asachr","Asahinea chrysantha","Lichen",19,"12mile",0.46658,0.293917,0.383461,0.38899,0.513366,0.546862,0.569906,0.574506,0.581337,0.595946,0.589796,0.43169,0.46948,0.506581,0.474718,0.501507,0.297563,0.340285,0.334136,0.297664,0.285991,0.21609
"43","asachr_Brooks002","asachr","Asahinea chrysantha","Lichen",19,"Brooks_Range",0.150671,0.21946,0.289661,0.317274,0.39479,0.407309,0.411321,0.417654,0.422874,0.428879,0.425035,0.343897,0.36565,0.387365,0.366133,0.385506,0.255389,0.296547,0.294943,0.273223,0.241133,0.205997
"44","3","asachr","Asahinea chrysantha","Lichen",19,"12mile",0.375726,0.246469,0.302446,0.274629,0.511096,0.548009,0.577576,0.596967,0.618369,0.644795,0.651034,0.495536,0.53717,0.588432,0.560756,0.585609,0.345285,0.388266,0.390973,0.380279,0.360738,0.281914
"45","asachr_Brooks004","asachr","Asahinea chrysantha","Lichen",19,"Brooks_Range",0.165353,0.226521,0.334475,0.362954,0.431933,0.448156,0.453512,0.459281,0.465018,0.470725,0.465922,0.377102,0.400923,0.422663,0.397463,0.418153,0.29138,0.329617,0.32405,0.291866,0.260468,0.221873
"46","betnan_Beth002","betnan","Betula nana","Shrub",56,"Bethel",0.154259,0.051583,0.166521,0.060564,0.517047,0.524084,0.510057,0.510437,0.487405,0.483052,0.431821,0.187526,0.291294,0.3451,0.314452,0.288517,0.071054,0.151596,0.198979,0.209413,0.148933,0.092488
"47","7","betnan","Betula nana","Shrub",56,"Murphy A",0.317422,0.032537,0.081666,0.030192,0.534815,0.60222,0.608584,0.618728,0.576019,0.57299,0.481847,0.167855,0.286983,0.355632,0.312206,0.27803,0.050601,0.129537,0.176055,0.181309,0.120175,0.066683
"48","32","betnan","Betula nana","Shrub",56,"Murphy A",0.303182,0.053684,0.111821,0.055774,0.438185,0.461292,0.461143,0.464668,0.444066,0.441591,0.391857,0.156668,0.261676,0.313314,0.2832,0.253306,0.044956,0.122061,0.171593,0.179225,0.121563,0.0658
"49","8","betnan","Betula nana","Shrub",56,"Murphy A",0.315985,0.032957,0.08066,0.030228,0.526352,0.593142,0.600055,0.610723,0.568754,0.565965,0.475945,0.16591,0.283448,0.351451,0.308533,0.274803,0.049989,0.127459,0.173024,0.178437,0.118307,0.066033
"50","betnan_Brooks003","betnan","Betula nana","Shrub",56,"Brooks_Range",0.140909,0.05971,0.154793,0.068762,0.530047,0.544405,0.538944,0.546161,0.522238,0.518343,0.461008,0.190323,0.310355,0.373795,0.338296,0.303295,0.06762,0.152533,0.214543,0.221706,0.15262,0.088651
"51","15","betnan","Betula nana","Shrub",56,"Murphy A",0.013612,0.007875,0.007578,0.007594,0.009257,0.009562,0.00964,0.00993,0.010048,0.01023,0.010378,0.010493,0.010605,0.010809,0.01088,0.010905,0.011699,0.012574,0.012593,0.010952,0.01201,0.010514
"52","betnan_Brooks002","betnan","Betula nana","Shrub",56,"Brooks_Range",0.138433,0.054432,0.114269,0.055333,0.524847,0.545671,0.539373,0.546758,0.518553,0.513463,0.448776,0.168871,0.285927,0.353609,0.317663,0.282195,0.066015,0.1355,0.19637,0.203683,0.140878,0.086595
"53","betnan_00003","betnan","Betula nana","Shrub",56,"Yukon_Delta",0.137525,0.060787,0.125923,0.088211,0.45676,0.511377,0.517179,0.532962,0.501467,0.502921,0.434463,0.188083,0.284062,0.337928,0.299845,0.277089,0.087543,0.148563,0.18815,0.191616,0.141847,0.093888
"54","betnan_Brooks006","betnan","Betula nana","Shrub",56,"Brooks_Range",0.143165,0.034571,0.140952,0.039963,0.502726,0.503187,0.488765,0.486574,0.462108,0.455618,0.403872,0.159772,0.263405,0.318449,0.286683,0.258936,0.047739,0.127099,0.184248,0.193792,0.127283,0.065337
"55","37","betnan","Betula nana","Shrub",56,"Murphy A",0.3531,0.038516,0.116902,0.043072,0.585483,0.64217,0.64298,0.652699,0.604561,0.602206,0.502506,0.173583,0.301984,0.372694,0.327921,0.286337,0.056807,0.139902,0.186369,0.194022,0.132623,0.071971
"56","37","betnan","Betula nana","Shrub",56,"Murphy A",0.3531,0.038516,0.116902,0.043072,0.585483,0.64217,0.64298,0.652699,0.604561,0.602206,0.502506,0.173583,0.301984,0.372694,0.327921,0.286337,0.056807,0.139902,0.186369,0.194022,0.132623,0.071971
"57","betnan_Beth001","betnan","Betula nana","Shrub",56,"Bethel",0.14688,0.053003,0.170803,0.064259,0.50201,0.503325,0.488205,0.487746,0.466506,0.462136,0.415576,0.18476,0.283747,0.334197,0.305737,0.280579,0.07245,0.149471,0.195122,0.20579,0.147858,0.093809
"58","21","betnan","Betula nana","Shrub",56,"Murphy A",0.24225,0.026256,0.076999,0.028312,0.406426,0.445419,0.443535,0.451924,0.407769,0.405025,0.32232,0.098273,0.172958,0.221802,0.195156,0.171508,0.035524,0.077864,0.103766,0.1046,0.071326,0.041193
"59","36","betnan","Betula nana","Shrub",56,"Murphy A",0.356614,0.037969,0.117005,0.043074,0.587567,0.644289,0.644989,0.652986,0.604778,0.602456,0.502686,0.172961,0.301739,0.372276,0.327733,0.285828,0.05577,0.138146,0.18398,0.191249,0.131587,0.070841
"60","35","betnan","Betula nana","Shrub",56,"Murphy A",0.348979,0.037682,0.117633,0.042712,0.589989,0.646058,0.646605,0.654234,0.605848,0.603282,0.503044,0.172188,0.300504,0.371649,0.327163,0.285755,0.055871,0.138281,0.185264,0.192956,0.132805,0.07073
"61","carlyn_00002","carlyn","Carex sp.","Graminoid",16,"Yukon_Delta",0.292453,0.22647,0.326753,0.239761,0.631099,0.647814,0.644964,0.654009,0.633066,0.634537,0.578155,0.345534,0.4633,0.528303,0.49979,0.457989,0.253314,0.348366,0.434422,0.433988,0.375517,0.316383
"62","carlyn_00002","carlyn","Carex sp.","Graminoid",16,"Yukon_Delta",0.292453,0.22647,0.326753,0.239761,0.631099,0.647814,0.644964,0.654009,0.633066,0.634537,0.578155,0.345534,0.4633,0.528303,0.49979,0.457989,0.253314,0.348366,0.434422,0.433988,0.375517,0.316383
"63","carlin_00007","carlin","Carex sp.","Graminoid",16,"Yukon_Delta",0.180985,0.106051,0.221301,0.120394,0.461188,0.460876,0.450585,0.450774,0.434261,0.430428,0.392677,0.215457,0.302078,0.349744,0.330221,0.302508,0.14122,0.211862,0.269813,0.267659,0.221789,0.167278
