"ScanID","PFT","PFT_2","PFT_3","PFT_4","Area","PFT2_Freq","PFT3_Freq","PFT4_Freq","450","520","630","770","1550","2090"
"35","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.036308,0.062166,0.045327,0.581349,0.258837,0.141895
"85","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.060643,0.08072,0.065892,0.707318,0.367671,0.204717
"444","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",612,971,992,0.076114,0.106535,0.110912,0.619989,0.476711,0.283579
"426","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",612,971,992,0.088309,0.110297,0.110795,0.500933,0.332185,0.200321
"17","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",612,971,992,0.065608,0.078494,0.069116,0.661951,0.375402,0.222555
"450","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",612,971,992,0.071995,0.090907,0.086238,0.579062,0.371211,0.220085
"205","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",612,971,992,0.059832,0.085912,0.07636,0.620755,0.31952,0.189113
"370","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",612,971,992,0.061442,0.086267,0.08242,0.610742,0.306527,0.178431
"129","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",612,971,992,0.06769,0.102159,0.08696,0.698382,0.373174,0.222335
"321","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",612,971,992,0.051449,0.082814,0.084682,0.530386,0.259374,0.153025
"131","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",612,971,992,0.136188,0.169022,0.155463,0.656105,0.500379,0.344376
"422","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",612,971,992,0.059772,0.090328,0.071118,0.720421,0.472916,0.290383
"124","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",612,971,992,0.077309,0.122902,0.100445,0.688581,0.471505,0.311413
"183","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",612,971,992,0.058593,0.088142,0.096831,0.639162,0.500589,0.314028
"387","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",612,971,992,0.096049,0.125907,0.118899,0.673945,0.373261,0.223059
"192","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",612,971,992,0.068108,0.105871,0.089311,0.690007,0.405484,0.239542
"12","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy B",612,971,992,0.079109,0.100905,0.089093,0.641034,0.329893,0.208078
"72","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy A",612,971,992,0.018307,0.031358,0.024878,0.270271,0.127273,0.075523
"328","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",612,971,992,0.043519,0.075369,0.06173,0.532949,0.271217,0.162551
"40","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",612,971,992,0.064749,0.092724,0.079085,0.619939,0.379776,0.232267
"144","dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",612,971,992,0.072903,0.124911,0.108198,0.725681,0.485567,0.302525
"200","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",43,971,992,0.060053,0.088614,0.104006,0.395262,0.207391,0.118999
"95","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.070208,0.12777,0.101491,0.76458,0.488937,0.296797
"86","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.074021,0.131454,0.099622,0.741046,0.440026,0.2765
"79","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.077833,0.116782,0.084129,0.761342,0.447952,0.270992
"197","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",43,971,992,0.040293,0.05903,0.058984,0.492236,0.263818,0.14668
"106","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.065503,0.101136,0.06785,0.817474,0.406472,0.247086
"80","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.092519,0.132614,0.094867,0.766827,0.445704,0.279898
"89","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.070579,0.136531,0.087155,0.792337,0.422555,0.25768
"102","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.074909,0.134741,0.1021,0.699114,0.453353,0.280419
