"","Functional_group1","Wavelength","Median_Reflectance","Max_Reflectance","Min_Reflectance","Pct_87_5_Reflectance","Pct_12_5_Reflectance","Upper_Reflectance","Lower_Reflectance"
"124","Abiotic",1123,32.45405,72.3315,14.2584,65.761875,17.7756,68.4588,15.61585
"125","Abiotic",1124,32.4912,72.3186,14.2576,65.752225,17.8319,68.4486,15.619125
"126","Abiotic",1125,32.52905,72.3058,14.2584,65.741225,17.8927,68.4374,15.623105
"127","Abiotic",1126,32.56775,72.2916,14.2595,65.729325,17.9551,68.4253,15.627445
"128","Abiotic",1127,32.60775,72.275,14.26,65.716925,18.0164,68.4122,15.63193
"129","Abiotic",1128,32.65005,72.256,14.2596,65.705225,18.0759,68.3983,15.637135
"130","Abiotic",1129,32.69455,72.2352,14.2589,65.6938875,18.135,68.3838,15.643085
"131","Abiotic",1130,32.73855,72.2117,14.2574,65.6806125,18.1744,68.3679,15.648275
"132","Abiotic",1131,32.7796,72.1846,14.2549,65.663,18.1753,68.35,15.65124
"133","Abiotic",1132,32.816,72.1531,14.2507,65.639725,18.1726,68.3289,15.65078
"134","Abiotic",1133,32.84945,72.118,14.2452,65.612275,18.1674,68.3054,15.64796
"135","Abiotic",1134,32.88235,72.0804,14.2396,65.5823375,18.1613,68.2818,15.644615
"136","Abiotic",1135,32.9173,72.0414,14.2352,65.5518,18.1555,68.2605,15.64254
"137","Abiotic",1136,32.9554,71.9999,14.2324,65.519525,18.1499,68.2424,15.64201
"138","Abiotic",1137,32.9949,71.9562,14.2306,65.4855375,18.1442,68.2259,15.64219
"139","Abiotic",1138,33.0337,71.9124,14.2284,65.451725,18.1383,68.2097,15.64253
"140","Abiotic",1139,33.06995,71.8707,14.2247,65.42005,18.1325,68.1925,15.64269
"141","Abiotic",1140,33.10365,71.8309,14.2193,65.391125,18.1265,68.176,15.6428
"142","Abiotic",1141,33.13585,71.7919,14.2132,65.3632125,18.1204,68.1591,15.64297
"143","Abiotic",1142,33.16735,71.7533,14.2071,65.3342875,18.1147,68.1397,15.642935
"144","Abiotic",1143,33.1988,71.714,14.2019,65.3020875,18.1094,68.1153,15.64257
"145","Abiotic",1144,33.2293,71.6731,14.1968,65.2644625,18.1041,68.0834,15.6412
"146","Abiotic",1145,33.25945,71.6326,14.1921,65.2259625,18.0992,68.0491,15.639865
"147","Abiotic",1146,33.29,71.5953,14.1888,65.1918375,18.0958,68.0185,15.64426
"148","Abiotic",1147,33.32165,71.5634,14.1876,65.16645,18.0944,67.9963,15.65098
"149","Abiotic",1148,33.35395,71.5357,14.1887,65.14765,18.0951,67.9798,15.65958
"150","Abiotic",1149,33.38675,71.5113,14.1908,65.133275,18.0969,67.9673,15.668945
"151","Abiotic",1150,33.41995,71.4898,14.1927,65.121475,18.0991,67.9573,15.67803
"152","Abiotic",1151,33.45395,71.4718,14.1938,65.111825,18.1015,67.95,15.68655
"153","Abiotic",1152,33.4891,71.4584,14.1952,65.106175,18.1045,67.9472,15.69518
"154","Abiotic",1153,33.524,71.4465,14.1959,65.101875,18.1077,67.9452,15.7032
"155","Abiotic",1154,33.5571,71.4324,14.195,65.0960625,18.1101,67.9401,15.7096
"156","Abiotic",1155,33.5876,71.4144,14.1919,65.0872375,18.1115,67.9296,15.713855
"157","Abiotic",1156,33.61645,71.3943,14.187,65.076925,18.1125,67.9159,15.71642
"158","Abiotic",1157,33.644,71.3736,14.1812,65.066225,18.1128,67.901,15.71812
"159","Abiotic",1158,33.67065,71.3538,14.1752,65.0563875,18.112,67.8872,15.71988
"160","Abiotic",1159,33.69525,71.3336,14.1685,65.04675,18.1093,67.8737,15.721435
"161","Abiotic",1160,33.7181,71.3128,14.161,65.03705,18.1053,67.8601,15.72249
"162","Abiotic",1161,33.74195,71.2952,14.154,65.0292625,18.1015,67.8484,15.72403
"163","Abiotic",1162,33.76945,71.2845,14.1487,65.0253625,18.0997,67.8407,15.727005
"164","Abiotic",1163,33.8022,71.2822,14.146,65.025925,18.1004,67.8379,15.73213
"165","Abiotic",1164,33.8376,71.2853,14.1445,65.0295375,18.1025,67.8381,15.738365
"166","Abiotic",1165,33.87215,71.2903,14.1427,65.034625,18.1046,67.8399,15.74414
"167","Abiotic",1166,33.90245,71.2942,14.1389,65.039775,18.1058,67.8418,15.748125
"168","Abiotic",1167,33.9279,71.3001,14.133,65.047175,18.1058,67.846,15.749845
"169","Abiotic",1168,33.95175,71.3064,14.1264,65.0550875,18.1057,67.8508,15.750885
"170","Abiotic",1169,33.97735,71.3096,14.1205,65.060925,18.1064,67.8531,15.753125
"171","Abiotic",1170,34.0064,71.3064,14.1166,65.06195,18.1089,67.8499,15.758155
"172","Abiotic",1171,34.03365,71.2957,14.1139,65.0575375,18.1131,67.8401,15.765755
"173","Abiotic",1172,34.0616,71.2825,14.1122,65.0513125,18.1181,67.8284,15.77465
"174","Abiotic",1173,34.0903,71.2726,14.1115,65.0474125,18.1233,67.8201,15.783555
"175","Abiotic",1174,34.1202,71.2702,14.1123,65.0489625,18.1282,67.8194,15.79176
"176","Abiotic",1175,34.15165,71.2732,14.1148,65.05445,18.1337,67.8245,15.800195
"177","Abiotic",1176,34.18315,71.2782,14.1178,65.061275,18.1389,67.8314,15.808385
"178","Abiotic",1177,34.21335,71.2819,14.1195,65.0667625,18.1428,67.8363,15.81578
"179","Abiotic",1178,34.2408,71.2824,14.119,65.069225,18.1445,67.8365,15.821665
"180","Abiotic",1179,34.2663,71.2817,14.117,65.070125,18.1443,67.8343,15.82619
"181","Abiotic",1180,34.29135,71.2801,14.1144,65.0703625,18.1438,67.8311,15.83078
"182","Abiotic",1181,34.3176,71.2784,14.1125,65.0709875,18.1449,67.8282,15.836625
"183","Abiotic",1182,34.3457,71.2761,14.1116,65.0715375,18.1484,67.8256,15.844515
"184","Abiotic",1183,34.37465,71.2732,14.111,65.0719375,18.1531,67.8227,15.85369
"185","Abiotic",1184,34.40395,71.2706,14.1105,65.073125,18.1583,67.8205,15.86317
"186","Abiotic",1185,34.43305,71.269,14.1101,65.076325,18.1632,67.8198,15.871875
"187","Abiotic",1186,34.4623,71.2696,14.1102,65.082775,18.1684,67.8216,15.880345
"188","Abiotic",1187,34.4916,71.271,14.1105,65.09095,18.1737,67.8246,15.8886
"189","Abiotic",1188,34.5205,71.2713,14.11,65.09815,18.178,67.827,15.896025
"190","Abiotic",1189,34.54845,71.2683,14.108,65.1020625,18.1802,67.8267,15.902045
"191","Abiotic",1190,34.5752,71.2604,14.1037,65.101375,18.1796,67.8228,15.906045
"192","Abiotic",1191,34.60135,71.2506,14.0984,65.0989,18.1776,67.8174,15.909075
"193","Abiotic",1192,34.62755,71.2429,14.0935,65.0980625,18.1758,67.8134,15.912315
"194","Abiotic",1193,34.65445,71.2413,14.0903,65.10195,18.1758,67.8132,15.91691
"195","Abiotic",1194,34.6819,71.2449,14.0885,65.110275,18.1766,67.8165,15.922255
"196","Abiotic",1195,34.7095,71.2511,14.0872,65.1203,18.1782,67.8213,15.928145
"197","Abiotic",1196,34.73675,71.2573,14.0857,65.1297125,18.1802,67.8258,15.93464
"198","Abiotic",1197,34.76365,71.2621,14.0837,65.1366625,18.1834,67.8289,15.942255
"199","Abiotic",1198,34.79085,71.2675,14.0818,65.1426125,18.1882,67.8319,15.95151
"200","Abiotic",1199,34.81725,71.2722,14.0793,65.1478,18.1927,67.8343,15.96057
"201","Abiotic",1200,34.8416,71.2746,14.0755,65.1524625,18.1949,67.8355,15.96767
"202","Abiotic",1201,34.8634,71.2741,14.0697,65.1572125,18.1934,67.8354,15.971815
"203","Abiotic",1202,34.88355,71.2716,14.0625,65.1621625,18.1892,67.8344,15.974175
"204","Abiotic",1203,34.9013,71.2667,14.0541,65.16565,18.1834,67.8318,15.974565
"205","Abiotic",1204,34.9161,71.2592,14.0449,65.16575,18.1769,67.8268,15.97284
"206","Abiotic",1205,34.92465,71.2464,14.0336,65.1598375,18.1679,67.8164,15.96679
"207","Abiotic",1206,34.92855,71.2295,14.0205,65.1496625,18.1569,67.8024,15.957325
"208","Abiotic",1207,34.9347,71.2141,14.0089,65.1404375,18.1481,67.79,15.949455
"209","Abiotic",1208,34.9497,71.2056,14.002,65.1372,18.1461,67.7848,15.94796
"210","Abiotic",1209,34.97485,71.2047,14.0004,65.1399625,18.1522,67.7881,15.953775
"211","Abiotic",1210,35.00605,71.2083,14.0021,65.1465125,18.1633,67.7963,15.963925
"212","Abiotic",1211,35.0397,71.214,14.0053,65.1554875,18.1756,67.8056,15.975675
"213","Abiotic",1212,35.0731,71.2198,14.0086,65.1662625,18.1863,67.8129,15.98689
"214","Abiotic",1213,35.11015,71.228,14.0145,65.1813125,18.1985,67.8201,16.000475
"215","Abiotic",1214,35.1477,71.2371,14.0208,65.1978375,18.2103,67.8271,16.014255
"216","Abiotic",1215,35.1808,71.244,14.024,65.21175,18.2182,67.8322,16.02459
"217","Abiotic",1216,35.2045,71.2456,14.0208,65.22485,18.2186,67.834,16.028105
"218","Abiotic",1217,35.2196,71.2419,14.0115,65.2867875,18.2114,67.8316,16.024995
"219","Abiotic",1218,35.2312,71.237,13.9999,65.3225625,18.2015,67.8284,16.01941
"220","Abiotic",1219,35.2444,71.2355,13.9899,65.3594125,18.1938,67.8279,16.015665
"221","Abiotic",1220,35.26305,71.2412,13.9842,65.403675,18.1921,67.8332,16.016935
"222","Abiotic",1221,35.28475,71.2526,13.9808,65.4533125,18.1941,67.8436,16.02125
"223","Abiotic",1222,35.3072,71.2658,13.9785,65.4693625,18.1975,67.8549,16.026605
"224","Abiotic",1223,35.3283,71.2769,13.9764,65.4807125,18.2,67.8626,16.03093
"225","Abiotic",1224,35.3466,71.2848,13.9742,65.4877375,18.2007,67.8648,16.033425
"226","Abiotic",1225,35.3633,71.2915,13.9726,65.49255,18.2009,67.8637,16.03506
"227","Abiotic",1226,35.37995,71.2962,13.9708,65.4965875,18.2007,67.8607,16.03643
"228","Abiotic",1227,35.3983,71.2979,13.9682,65.5012125,18.2004,67.8571,16.0383
