"","Wavelength","diff_median"
"186",740.171,0.81657761312433
"187",742.023,0.777992418687634
"188",743.875,0.782900335369083
"189",745.726,0.792056140168362
"190",747.578,0.783954715242281
"191",749.43,0.818810323444571
"192",751.282,0.810236127642643
"193",753.134,0.800271720373826
"194",754.985,0.794967971543594
"195",756.837,0.795127986496085
"196",758.689,0.800061200971032
"197",760.541,0.882029235530993
"198",762.392,0.866347376022976
"199",764.244,0.770056027766823
"200",766.096,0.764271975928568
"201",767.948,0.705578398516717
"202",769.8,0.772566923477254
"203",771.651,0.74391466862726
"204",773.503,0.830542992882557
"205",775.355,0.784901616046044
"206",777.207,0.746945555755917
"207",779.058,0.799919444895286
"208",780.91,0.792470021502849
"209",782.762,0.790322539252671
"210",784.614,0.776668347270756
"211",786.466,0.752336388164653
"212",788.317,0.776978273381614
