"ScanID","PFT","PFT_2","PFT_3","Freq1","Freq2","area","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"49","dryoct","Dryas octopetala","Dwarf Shrub",612,992,"Murphy B",-15.7613093209572,13.044003157305,0.91821112081773,0.854302135582707,-0.316499974973609,-2.41904481046194,0.15728123055278
"84","dryhyb","Dryas sp.","Dwarf Shrub",43,992,"Wickersham B",-10.0311257937274,10.8761300604807,2.93922865245328,1.40813192316884,0.585866498891707,0.00665906463921098,0.883419995827686
"28","dryoct","Dryas octopetala","Dwarf Shrub",612,992,"Wickersham B",10.5081293113146,-3.03267889220864,1.01822328677965,0.910079507781713,-0.88949432955417,0.0163408211993393,0.588866178216866
"25","dryala","Dryas alleghenies","Dwarf Shrub",272,992,"Big Trail",11.3619443611334,3.77067290925505,0.466281896898735,0.509684674343187,-1.31119324007743,-0.270642559586771,-0.142762729439557
"391","dryoct","Dryas octopetala","Dwarf Shrub",612,992,"Big Trail",-16.5817009672769,8.61946844705976,4.19464398526704,0.969453805477885,-1.38330337978979,-0.428505961103854,1.78642304824389
"311","dryoct","Dryas octopetala","Dwarf Shrub",612,992,"Big Trail",-3.33528230449009,11.4443551813302,1.77324682920969,0.169548515436879,-1.14463897719891,-0.857068542352027,-0.705808017240317
"19","dryoct","Dryas octopetala","Dwarf Shrub",612,992,"Wickersham B",-7.39555367088124,10.0602812814213,3.63367125650352,1.32068718299364,-1.44862269925914,-0.756352429279587,0.704355582821139
"63","dryoct","Dryas octopetala","Dwarf Shrub",612,992,"Wickersham B",-15.6324762278994,15.819178911903,4.31924678379234,0.824156961438863,-0.874174576432792,-1.06717482435482,1.15263260592629
"76","dryoct","Dryas octopetala","Dwarf Shrub",612,992,"Wickersham B",-13.6811555295037,10.8432899587854,2.66109041041474,0.306352462974046,-1.08193671034445,-0.350083136381856,0.591571070108767
"9","dryoct","Dryas octopetala","Dwarf Shrub",612,992,"Murphy B",-3.19293836844139,5.2624262526804,-0.278361198286938,0.412933762530183,0.203077939541038,0.27910454460853,-0.6633343245051
"17","dryala","Dryas alleghenies","Dwarf Shrub",272,992,"Wickersham B",-14.2874288384613,4.76247806829148,6.18048355164622,-1.58010725303611,1.28746232548825,-1.92251157928132,2.30374875164154
"21","dryala","Dryas alleghenies","Dwarf Shrub",272,992,"Big Trail",-2.07774100720455,13.7356172636299,-0.323069768458198,-0.0542665092170534,-0.945292147542238,0.293252287168912,0.102413745487799
"13","dryala","Dryas alleghenies","Dwarf Shrub",272,992,"Big Trail",-7.25170123445413,13.537567159801,3.27902517401251,1.18243512060919,-1.52699990061878,0.573508098482308,0.558874023336437
"131","luparc","Lupinus sp.","Forb",12,80,"Murphy",14.855842442285,4.34714040223927,-2.77179402920439,0.373895873057831,-0.0273947099844871,-0.617062083332903,0.12814522219212
"168","pedrac","Pedicularis racemosa","Forb",11,80,"Murphy",4.82639950469664,-11.6007904568894,2.33782211246922,-1.90767205011976,-0.798917271871601,-0.95476848947895,1.27528422296809
"71","rosaci","Rosa acicularis","Forb",20,80,"Big Trail",4.72400475231176,1.34613182757252,2.49096774673459,2.37099070283005,0.23233522945538,0.143139162840084,0.64722533342779
"irisit_00003","irisit","Iris sp.","Forb",4,80,"Yukon_Delta",-7.20703827770537,6.83980082652617,-0.321691592988586,0.853557383236064,1.64074855353735,1.40876304594405,-1.40185962093354
"herlan_00002","herlan","Heracleum lanatum","Forb",8,80,"Yukon_Delta",4.66447089562854,-2.65133543025575,4.71675508222942,2.58543966478981,0.692332548459504,-0.353701728925739,-0.231104966319154
"rosase_AK2018_07","rosasc","Rosa acicularis","Forb",20,80,"AK2018",1.21679682970943,2.59663010450626,2.76991679791258,2.19453498613831,1.24419006244973,0.56632847636994,0.887153022837552
"126","luparc","Lupinus sp.","Forb",12,80,"Murphy",33.0564212768839,-14.9043523117241,-3.56813088428491,0.997084672938033,-0.668162955871609,-0.202412154295178,-0.0653858039429593
"174","petfri","Petasites frigida","Forb",8,80,"Murphy",9.92923237481696,6.75857487035382,-1.60631026964412,0.865915702026164,0.480689934564243,0.910152303968076,-0.356565460343207
"rosase_AK2018_05","rosasc","Rosa acicularis","Forb",20,80,"AK2018",-0.647142199763061,4.03414955752832,3.07296881677663,2.1211159483512,1.04158850881478,0.50804924784583,0.886999154813023
"pedsud_00003","pedsud","Pedicularis sudetica","Forb",4,80,"Yukon_Delta",14.6614213903743,0.752478225660057,-5.5248794589598,-0.315069001003692,1.29772643696735,0.951345182227682,-0.54267941300859
"240","toefeldia","Toefeldia sp.","Forb",5,80,"Murphy",-28.1253413904822,-6.0966451118078,4.98949509516964,-1.1809132670442,0.838966217370332,-0.905457379015426,-0.435250011916646
"160","pedrac","Pedicularis racemosa","Forb",11,80,"Murphy",-54.5988140787735,-6.46286011813073,-5.61984067157947,-3.91876223823871,0.6129742784688,-1.18612565132715,4.15460415715777
"pedsud_00001","pedsud","Pedicularis sudetica","Forb",4,80,"Yukon_Delta",9.16366038248987,-1.04414571963015,-3.84890546954585,0.15279725806689,1.06224216960699,1.69815742539432,-1.27481594810056
"165","pedrac","Pedicularis racemosa","Forb",11,80,"Murphy",6.41359718637202,-11.0955365307784,1.9794514296128,-1.99563457634342,-0.72834693532304,-0.632307122765743,0.901424844702966
"eqaswl_AK2018_02","equsyl","Equisetum sylvaticum","Forb",4,80,"AK2018",-13.9713566908395,20.4348206349021,2.68882929080858,-1.34510563699886,0.173617701091175,-2.50328599372638,-0.354990908189541
"72","rosaci","Rosa acicularis","Forb",20,80,"Big Trail",2.8055354428775,1.49097691004343,2.76110146199552,2.24072141731619,0.597180718642386,0.120543048600869,0.883665304176497
"equarv_00002","equarv","Equisetum arvense","Forb",4,80,"Yukon_Delta",16.0825521000825,-1.80614454892655,-0.381369283651845,0.380378423639303,-0.884566330698133,0.314245282405684,-1.07814462138772
"133","luparc","Lupinus sp.","Forb",12,80,"Murphy",11.6938433214464,7.85544949945084,-3.45822935464847,0.0354378360715884,-0.100888304095681,-0.25643871402862,0.418620034370616
"rosase_AK2018_04","rosasc","Rosa acicularis","Forb",20,80,"AK2018",2.01120429302485,3.09035930421104,2.62823428231972,2.06151161604169,0.803925909484357,0.514592857372508,0.86542301462502
"herlan_00008","herlan","Heracleum lanatum","Forb",8,80,"Yukon_Delta",3.89710084420129,-2.70152347879088,4.99508505392756,2.62388982922282,1.12353718490112,-0.680292179193365,-0.22505414056838
"132","luparc","Lupinus sp.","Forb",12,80,"Murphy",15.1636314453006,4.24491172565577,-2.52072041579001,0.388058040373502,-0.143638533841919,-0.633127700141375,0.258846347236852
"carram_00002","carram","Carex sp.","Graminoid",16,30,"Yukon_Delta",-10.3168485196752,14.2078955409366,-0.481624995721481,-1.85218473944361,0.723528711872682,0.203164682147935,-1.58781986724429
"carlin_00005","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",-1.28706340370328,1.67696991549714,-0.76145548958851,1.58720438562584,1.6899356487877,-0.213434103305376,-0.645008112627099
"carlin_00004","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",-6.3498640717913,2.53227898262488,-1.19481579162793,1.45083094228646,2.21797596675787,-1.03394274677021,-0.706588329265328
"carlyn_00003","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",3.2979638268537,-7.05301460020317,1.55313479531092,1.63208977242134,0.808409489488877,-0.600208131760632,-0.792341326218969
"carlyn_00004","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",3.72289321749026,-6.96757951641164,1.23005986838068,1.53909203151797,0.657343202578837,-0.39478763650245,-0.581661390202516
"calcan_00002","calcan","Calamogrostis sp.","Graminoid",4,30,"Yukon_Delta",5.27805485470915,-3.21580492091026,1.81966514347489,1.91783593468848,0.87114808597613,0.302438634292392,0.661517794179546
"carlyn_00001","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",-11.3418115938803,1.46894685289016,1.57495278461685,1.58278200897605,1.31823227634022,-0.682494226133711,-0.727171423415673
"carlyn_00002","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",-27.7254328188745,-0.0593184705581426,-0.102938927035945,2.09743761932889,1.7435091803922,-3.03972414858929,-0.971149832163296
"carlyn_00003","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",3.2979638268537,-7.05301460020317,1.55313479531092,1.63208977242134,0.808409489488877,-0.600208131760632,-0.792341326218969
"calcan_00003","calcan","Calamogrostis sp.","Graminoid",4,30,"Yukon_Delta",1.27474874969463,0.0181410193991817,2.38161549471219,2.07200840950774,0.150828246452965,0.91150313127865,0.471507479217245
"carlyn_00002","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",-27.7254328188745,-0.0593184705581426,-0.102938927035945,2.09743761932889,1.7435091803922,-3.03972414858929,-0.971149832163296
"carlin_00005","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",-1.28706340370328,1.67696991549714,-0.76145548958851,1.58720438562584,1.6899356487877,-0.213434103305376,-0.645008112627099
"carlyn_00004","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",3.72289321749026,-6.96757951641164,1.23005986838068,1.53909203151797,0.657343202578837,-0.39478763650245,-0.581661390202516
"carlin_00008","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",7.49383122290301,-1.47237648385097,-1.28314702684319,1.45221186161407,1.06383351180461,-0.695534388263329,-0.199757578948747
"carram_00002","carram","Carex sp.","Graminoid",16,30,"Yukon_Delta",-10.3168485196752,14.2078955409366,-0.481624995721481,-1.85218473944361,0.723528711872682,0.203164682147935,-1.58781986724429
"carlyn_00004","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",3.72289321749026,-6.96757951641164,1.23005986838068,1.53909203151797,0.657343202578837,-0.39478763650245,-0.581661390202516
"carlin_00005","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",-1.28706340370328,1.67696991549714,-0.76145548958851,1.58720438562584,1.6899356487877,-0.213434103305376,-0.645008112627099
"carlin_00002","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",-4.96484310813062,2.94171376875593,-1.85282259233406,1.31855598099651,2.0508282943513,1.08607081463975,-0.531804701251528
"carlyn_00003","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",3.2979638268537,-7.05301460020317,1.55313479531092,1.63208977242134,0.808409489488877,-0.600208131760632,-0.792341326218969
"carlyn_00004","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",3.72289321749026,-6.96757951641164,1.23005986838068,1.53909203151797,0.657343202578837,-0.39478763650245,-0.581661390202516
"carram_00002","carram","Carex sp.","Graminoid",16,30,"Yukon_Delta",-10.3168485196752,14.2078955409366,-0.481624995721481,-1.85218473944361,0.723528711872682,0.203164682147935,-1.58781986724429
"55","hypaus","Hypogymnia austerodes","Lichen",13,464,"Murphy",-16.0394661542487,-5.29575885040622,13.8879538599003,2.00451234344935,-3.16033912860322,2.26536581133145,-2.8002361690509
"17","clacor","Cladonia cornuta","Lichen",3,464,"Murphy",-23.7614149669729,7.53793316390605,-0.709035500716918,-2.63600511108466,1.10850949712191,-0.267046502041258,-1.74871876740391
"13","claran","Cladonia rangiferina","Lichen",20,464,"Big Trail",-5.37394898443368,-0.0130096498279703,-11.5023692467466,0.747905261725535,-2.13366406081233,0.578672879738481,1.07347112593859
"109","tragra","Trapelopsis granulosa","Lichen",5,464,"Murphy",-38.776601153166,12.3872798653999,6.40106628577034,-3.26344949263585,-4.81043741526544,1.40111170380165,-2.56341512601279
"92","flaniv","Flavocetraria nivalis","Lichen",19,464,"Murphy",-18.9066761236126,-3.82108872032133,-6.47633468240101,-4.70850462542114,3.53243720096173,4.55324073567366,1.07288302405053
"neparc_Brooks004","neparc","Nephroma arcticum","Lichen",21,464,"Brooks_Range",-7.33362633518812,-3.64404982466779,0.276145968674155,-2.79875891225744,1.58410717216057,2.13499324385399,1.14335870973288
"14","claran","Cladonia rangiferina","Lichen",20,464,"Big Trail",-12.6755135103304,2.12299068884667,-10.8229812428266,0.822117816143275,-1.99143064726758,-0.150246518525544,1.23914529388527
"226","grey_rhizocarpon","Rhizocarpon sp.","Lichen",3,464,"Murphy",-2.74913897783334,-23.5570411176319,11.8321811028837,0.0240381467651644,-1.91749727261986,-1.31193534690065,0.71897025502041
"2","aleoch","Alectoria ochroleuca","Lichen",6,464,"Murphy",12.3685603035315,-12.5522227007115,-0.775824064822114,-1.32874916006055,0.310409452082427,1.50577381640535,0.475028525172121
"claama_AK2018_03","claama","Cladonia amaurocraea","Lichen",6,464,"AK2018",20.0944696441353,-12.1134578052152,-2.49752091697048,-0.820676854098329,0.388707601040823,0.900537755852796,0.122244637972403
"59","hypaus","Hypogymnia austerodes","Lichen",13,464,"Murphy",-21.6229454674493,-0.373712007768956,9.95987172474038,1.66193608171896,-1.39684932754326,2.80776477017228,-2.91959202328834
"12","clagra","Cladonia gracilis","Lichen",18,464,"Big Trail",1.84036389785039,1.9163601813324,-9.16553728664834,-0.698394940006368,0.427616043448536,1.20597095997422,-0.54669099394683
"pelleu_AK2018_01","pelleu","Peltigers leucophlebia","Lichen",4,464,"AK2018",-20.1592718947012,-9.26910983639886,10.4113823027921,-1.94478258074368,2.27545581716745,-1.58440990467272,1.32641432551423
"98","pelsca","Peltigera scabrata","Lichen",7,464,"Murphy",-3.81123299090145,10.0736977724099,2.02334252196533,1.84142307580931,-0.368375310199285,1.50844517909318,-0.168212069051891
"108","tragra","Trapelopsis granulosa","Lichen",5,464,"Murphy",-34.8444026652214,-5.30201915811716,3.16170708505439,-2.44214945743839,-2.01007230464418,1.39438530748061,-1.5630723279956
"5","bryoria","Bryoria sp.","Lichen",10,464,"Murphy",-12.0082510924304,-26.3127417655823,20.5140504238062,3.99525522806036,-0.272012404573109,-1.97949622079292,-1.86012576573319
"35","clasty","Cladonia stygia","Lichen",18,464,"Murphy",-0.161519973409133,1.95354775848527,-10.7205688881832,-0.0779611465008512,0.160870089712355,1.38770152648967,-0.250146689602445
"2","aleoch","Alectoria ochroleuca","Lichen",6,464,"Murphy",12.3685603035315,-12.5522227007115,-0.775824064822114,-1.32874916006055,0.310409452082427,1.50577381640535,0.475028525172121
